id,slaveId,datStart,datEnd,duration,channel1,channel2,channel3,channel4,error
122,2,06:33.3,23:13.3,1000,1,2,3,0,0
123,2,23:13.3,31:33.3,500,1,0,3,0,0
124,2,31:33.3,48:13.3,1000,1,2,3,0,0
125,2,48:13.3,56:33.3,500,1,0,3,0,0
126,2,56:33.3,13:13.3,1000,1,2,3,0,0
127,2,13:13.3,21:33.2,500,1,0,3,0,0
128,2,21:33.2,29:03.9,451,1,2,3,0,0
129,2,29:03.9,29:34.3,30,0,0,0,0,0
130,2,29:34.3,35:55.9,382,0,0,0,0,1
131,2,35:55.9,51:50.4,955,1,2,3,0,0
132,2,51:50.4,00:10.4,500,1,0,3,0,0
133,2,00:10.4,16:50.4,1000,1,2,3,0,0
134,2,16:50.4,25:10.4,500,1,0,3,0,0
135,2,25:10.4,41:50.4,1000,1,2,3,0,0
136,2,41:50.4,50:10.4,500,1,0,3,0,0
137,2,50:10.4,06:50.4,1000,1,2,3,0,0
138,2,06:50.4,15:10.4,500,1,0,3,0,0
139,2,15:10.4,31:50.4,1000,1,2,3,0,0
140,2,31:50.4,40:10.3,500,1,0,3,0,0
141,2,40:10.3,56:50.3,1000,1,2,3,0,0
142,2,56:50.3,05:10.3,500,1,0,3,0,0
143,2,05:10.3,21:50.3,1000,1,2,3,0,0
144,2,21:50.3,30:10.3,500,1,0,3,0,0
145,2,30:10.3,46:50.3,1000,1,2,3,0,0
146,2,46:50.3,55:10.2,500,1,0,3,0,0
147,2,55:10.2,11:50.3,1000,1,2,3,0,0
148,2,11:50.3,20:10.2,500,1,0,3,0,0
149,2,20:10.2,36:50.3,1000,1,2,3,0,0
150,2,36:50.3,45:10.2,500,1,0,3,0,0
151,2,45:10.2,01:50.2,1000,1,2,3,0,0
152,2,01:50.2,10:10.2,500,1,0,3,0,0
153,2,10:10.2,10:10.6,0,1,2,3,0,0
154,2,10:10.6,10:42.0,31,0,0,0,0,0
155,2,10:42.0,44:14.7,48813,0,0,0,0,1
156,2,44:14.7,44:43.8,29,0,0,0,0,0
157,2,44:43.8,01:21.9,998,1,2,3,0,0
